Read_ID	Read_Length	Aligned_contig	Align_Length	Identity	match	mismatch	insertions	deletions	softclip	hardclip	intron_skip
0d903f1a-cec1-4424-944d-72d0addbb337	853	chr2	822	0.8523255813953489	733	22	38	67	60	0	0
3fdf9987-1462-4f89-9bc4-89976c152782	304	chr2	292	0.8088737201365188	237	14	1	41	52	0	0
ff6c2bd2-457d-4107-bb71-ad960f71fe83	261	chr2	220	0.8778280542986425	194	11	1	15	55	0	0
26ebc8ed-4e8b-4f01-a75c-ca20cb48a38e	1503	chr2	1492	0.8405612244897959	1318	59	76	115	50	0	37630
a0915722-04b2-4358-8929-8393228525ab	1504	chr2	1504	0.8357457520453115	1328	69	85	107	22	0	37622
271c3441-08e9-4f71-8316-293a5a32baf2	703	chr2	664	0.8318840579710145	574	36	26	54	67	0	14234
071fd337-dfea-425d-8766-5a8ef379f313	1420	chr2	1438	0.8227762803234502	1221	86	46	131	67	0	37625
2fbf3000-3633-4d53-9476-64da460ec3c0	1481	chr2	2774	0.4688605803255485	1325	45	52	1404	59	0	36310
0a9fd9e9-a9a8-46b1-8a7e-bd982f6ac683	542	chr2	449	0.8577405857740585	410	23	29	16	80	0	0
62b22559-f665-44b3-b1e0-f684f954d4c6	361	chr2	277	0.9039145907473309	254	13	4	10	90	0	0
386d25c2-95c3-48af-b745-e75bedf50842	1080	chr2	1080	0.8818181818181818	970	28	20	82	62	0	3944
ba10dfdf-c784-4f8a-9a77-3c74bd89c277	1297	chr2	1261	0.8724884080370943	1129	47	33	85	88	0	0
54931894-bffa-4169-951a-8caaf05419fe	1146	chr2	1126	0.8754295532646048	1019	45	38	62	44	0	0
cead3810-0219-4607-a49f-7a859779e2f1	2700	chr2	2731	0.8741484403011832	2438	103	58	190	101	0	7356
8e4e5017-c46f-48b1-972f-50692b2dfafe	2090	chr2	2068	0.8755284170972287	1864	73	61	131	92	0	0
6680d039-3d8f-4702-b28f-cdc2021e6abd	1856	chr2	1695	0.8726655348047538	1542	44	72	109	198	0	0
3b3ce131-f95b-4d8d-b39f-4c4eb42dfa16	2008	chr2	2096	0.8647388059701493	1854	41	48	201	65	0	0
6a2c0432-7842-4e22-9cf5-bb4dd7a2fc49	367	chr2	289	0.7555555555555555	238	19	26	32	84	0	0
396984eb-8e78-4284-9930-c00d71833a40	7138	chr2	7241	0.9049480922205744	6712	150	176	379	100	0	57978
0e72dd2c-35e9-45c3-ae13-4aa715b86f76	2362	chr2	2354	0.8841059602649006	2136	77	62	141	87	0	17469
fb9c29fd-8930-4cd1-ac16-206096366e1f	3813	chr2	3840	0.8559701492537314	3441	164	180	235	28	0	10409
7f6e8e27-6226-49cd-8455-83cc17a49eab	4293	chr2	4185	0.7954290835760699	3550	302	278	333	163	0	10409
76c07002-1c4d-4b27-96d7-050ca864fd4d	497	chr2	423	0.8136363636363636	358	27	17	38	95	0	0
9791845e-43ea-41db-8036-8a9684a28ca3	967	chr2	959	0.8706720977596741	855	29	23	75	60	0	17469
cb0e57f6-8ac2-48b3-bd64-55af85a7b2ba	884	chr2	766	0.8595360824742269	667	25	10	74	182	0	0
3fff5047-d4cc-48c2-b016-b39b385bb366	3807	chr2	3920	0.8794852759218015	3554	128	121	238	4	0	45317
a07365e1-a34c-445e-aa5c-ad93d22b562c	4759	chr2	4909	0.8835862619808307	4425	151	99	333	84	0	45317
a7019a18-15d4-4c53-8f09-ac6b5f259af4	1624	chr2	1671	0.8447568834212068	1442	81	36	148	65	0	0
6860ad63-ba64-4510-aad4-0299f496d75b	8022	chr2	8432	0.8612489899572896	7461	292	231	679	38	0	0
d21034f5-1fa4-4ae2-9a4a-11072de60ff8	3114	chr2	3264	0.8563321385902031	2867	135	84	262	28	0	0
33473142-36fb-4808-9b7f-108edf2c7b8d	2340	chr2	2430	0.8740978348035284	2180	89	64	161	7	0	0
02bd26c9-c19a-4544-8358-d911245bc972	1926	chr2	1932	0.7517106549364614	1538	179	114	215	95	0	0
525071e1-ccdd-4be9-b854-aa6c4aab1b9f	1526	chr2	1545	0.870825456836799	1382	60	42	103	42	0	0
9440f686-8044-43a2-84ad-00ec628949cc	1344	chr2	1351	0.8687230989956959	1211	52	43	88	38	0	0
12281a4c-6335-40ae-abc8-bda7cc163b43	965	chr2	918	0.8586387434554974	820	33	37	65	75	0	0
aa6fabec-6914-468c-9f11-66915b5e27ef	1251	chr2	1102	0.8581196581196581	1004	51	68	47	128	0	0
0a368976-a640-4594-87c9-f5615caf8983	461	chr2	377	0.8638613861386139	349	19	27	9	66	0	0
31eaf52d-009d-480a-a45d-2497e594b0b9	465	chr2	407	0.8004750593824228	337	21	14	49	93	0	0
c2a62f85-2a4e-41b5-8d06-65edd4ffe77b	3077	chr2	3244	0.8071216617210683	2720	228	126	296	3	0	29772
57d8ee0a-2b81-4349-acff-97c4c3f7d200	4045	chr2	4013	0.8793514544587506	3688	114	181	211	62	0	29827
e9875b50-0ca9-4b19-9143-881b7a6c15bc	3502	chr2	3503	0.8942254303164908	3221	100	99	182	82	0	29827
